15N,1H,i
100.54,6.0,0.000174753
100.54,6.03914,0.000263017
100.54,6.0587,0.000357643
100.54,6.07827,0.000482947
100.54,6.09784,0.000679836
100.54,6.11741,0.0011733
100.54,6.15654,4.36455e-05
100.54,6.17611,0.000375558
100.54,6.19568,0.00149491
100.54,6.21525,0.000702228
100.54,6.23482,0.000114076
100.54,6.25439,8.90158e-05
100.54,6.27395,0.000667322
100.54,6.29352,0.000177279
100.54,6.31309,0.000188336
100.54,6.33266,2.04295e-05
100.54,6.39136,0.000678368
100.54,6.41093,0.00076085
100.54,6.4305,0.000546765
100.54,6.46963,0.000413559
100.54,6.50877,0.000222832
100.54,6.58704,0.000869498
100.54,6.60661,0.000290859
100.54,6.62618,0.000867818
100.54,6.64575,0.000702716
100.54,6.66532,5.69709e-05
100.54,6.70445,0.000597298
100.54,6.74359,0.00034507
100.54,6.76316,0.00139532
100.54,6.78272,0.000236653
100.54,6.80229,0.000983946
100.54,6.861,0.000111379
100.54,6.95884,0.000973478
100.54,6.9784,0.000397641
100.54,6.99797,0.000512328
100.54,7.01754,0.000913359
100.54,7.03711,0.000628576
100.54,7.21322,0.000183284
100.54,7.27193,1.60448e-05
100.54,7.29149,8.30144e-05
100.54,7.33063,0.000717897
100.54,7.4089,0.000618909
100.54,7.42847,0.000363186
100.54,7.46761,0.000864644
100.54,7.50674,0.000182223
100.54,7.54588,0.0010496
100.54,7.56545,0.00128059
100.54,7.58502,0.000211544
100.54,7.60458,3.22014e-05
100.54,7.68286,0.000739507
100.54,7.70242,2.39126e-05
100.54,7.74156,0.000987642
100.54,7.76113,0.000959139
100.54,7.7807,7.34366e-05
100.54,7.80026,0.000302427
100.54,7.81983,0.00211269
100.54,7.8394,0.00102885
100.54,7.87854,0.000577621
100.54,7.8981,0.000157706
100.54,7.91767,0.000821799
100.54,7.95681,0.000660751
100.54,7.97638,0.000192262
100.54,7.99595,0.00051121
100.54,8.05465,0.000176322
100.54,8.07422,0.000148211
100.54,8.11335,0.000889249
100.54,8.13292,1.72518e-05
100.54,8.15249,0.000331528
100.54,8.17206,0.000179537
100.54,8.19163,0.000313889
100.54,8.23076,0.000445817
100.54,8.25033,0.000658866
100.54,8.2699,0.000677612
100.54,8.28947,0.000589617
100.54,8.30903,0.000511847
100.54,8.34817,0.000260122
100.54,8.36774,0.00130647
100.54,8.38731,0.000195026
100.54,8.42644,9.36799e-05
100.54,8.44601,9.77144e-06
100.54,8.48515,0.000644416
100.54,8.50472,0.000135787
100.54,8.56342,0.000488941
100.54,8.58299,0.000388011
100.54,8.60256,0.000121545
100.54,8.66126,0.000817765
100.54,8.68083,0.000324398
100.54,8.7004,0.000598017
100.54,8.71996,0.000577822
100.54,8.77867,0.00181601
100.54,8.79824,0.000757664
100.54,8.81781,0.00121284
100.54,8.83737,0.000157058
100.54,8.89608,0.00049739
100.54,8.91565,0.000287846
100.54,8.95478,0.000601552
100.54,8.97435,0.000623703
100.54,8.99392,0.000610061
100.54,9.01349,0.000719134
100.54,9.03305,0.00100807
100.54,9.07219,7.94604e-05
100.54,9.11133,0.000588309
100.54,9.13089,0.000279635
100.54,9.20917,9.23611e-05
100.54,9.22874,0.000286944
100.54,9.2483,0.000144053
100.54,9.26787,0.00029837
100.54,9.28744,0.000565179
100.54,9.30701,0.000581436
100.54,9.32658,0.000546563
100.54,9.34614,0.00108609
100.54,9.36571,0.000326853
100.54,9.38528,0.000256628
100.54,9.40485,0.000135265
100.54,9.42442,0.000633091
100.54,9.44398,0.000793438
100.54,9.50269,0.0012148
100.54,9.52226,0.000773463
100.54,9.54182,0.00120905
100.54,9.58096,0.000380222
100.54,9.60053,0.000199821
100.54,9.6201,0.000765316
100.54,9.63966,0.000706993
100.54,9.65923,0.000344779
100.54,9.6788,4.39286e-05
100.54,9.69837,0.000479382
100.54,9.75707,0.000536196
100.54,9.77664,0.000697773
100.54,9.79621,0.000736631
100.54,9.83535,0.000199802
100.54,9.85491,0.0010122
100.54,9.91362,0.000665225
100.54,9.95275,0.000711307
100.54,9.97232,0.00137674
100.54,10.0115,0.000363175
100.54,10.031,0.000524953
100.54,10.0506,0.000277027
100.54,10.0702,0.00123584
100.54,10.0897,0.00145705
100.54,10.1093,0.000348825
100.54,10.1289,0.000362474
100.54,10.1484,0.000478394
100.54,10.168,0.0010462
100.54,10.1876,0.0010004
100.54,10.2071,6.87428e-05
100.54,10.2854,0.000281531
100.54,10.305,0.000788923
100.54,10.3441,9.71556e-05
100.54,10.3637,0.00178763
100.54,10.3833,0.000410143
100.54,10.4224,0.000680946
100.54,10.442,7.81566e-06
100.54,10.5007,0.00165078
100.54,10.5594,8.34353e-05
100.54,10.5789,0.00027556
100.54,10.5985,0.000353597
100.54,10.6376,0.000273183
100.54,10.6572,0.000789683
100.54,10.7355,0.00067104
100.54,10.755,0.000468887
100.54,10.8138,0.000727843
100.54,10.8333,0.00102024
100.54,10.9116,0.000322878
100.54,10.9507,0.000788223
100.54,10.9703,0.000950269
100.54,10.9899,0.000117309
100.608,6.0,0.000149187
100.608,6.03914,0.000329491
100.608,6.0587,0.000395991
100.608,6.07827,0.000288643
100.608,6.09784,0.00061848
100.608,6.11741,0.00112216
100.608,6.15654,4.36455e-05
100.608,6.17611,0.000505947
100.608,6.19568,0.00163297
100.608,6.21525,0.000692002
100.608,6.27395,0.000493474
100.608,6.29352,0.000182394
100.608,6.31309,8.60728e-05
100.608,6.33266,0.000148259
100.608,6.39136,0.000576105
100.608,6.41093,0.000602338
100.608,6.4305,0.000454724
100.608,6.46963,0.000265274
100.608,6.50877,0.000289302
100.608,6.58704,0.000792798
100.608,6.60661,0.000487722
100.608,6.62618,0.000724647
100.608,6.64575,0.000748735
100.608,6.66532,5.83753e-06
100.608,6.70445,0.000449013
100.608,6.74359,0.000329729
100.608,6.76316,0.00128539
100.608,6.80229,0.000876568
100.608,6.861,9.11206e-06
100.608,6.95884,0.00108853
100.608,6.9784,0.000351619
100.608,6.99797,0.000415176
100.608,7.01754,0.000765074
100.608,7.03711,0.000298772
100.608,7.21322,0.000101469
100.608,7.25236,0.000102468
100.608,7.33063,0.000380423
100.608,7.4089,0.000491075
100.608,7.42847,0.000342734
100.608,7.46761,0.000795614
100.608,7.50674,0.00015666
100.608,7.54588,0.000937108
100.608,7.56545,0.00124991
100.608,7.58502,0.000329152
100.608,7.68286,0.00070883
100.608,7.70242,6.22608e-05
100.608,7.74156,0.000824016
100.608,7.76113,0.000729043
100.608,7.7807,7.08811e-05
100.608,7.80026,7.74413e-05
100.608,7.81983,0.00168062
100.608,7.8394,0.000921469
100.608,7.87854,0.000552054
100.608,7.8981,1.19805e-05
100.608,7.91767,0.00076044
100.608,7.95681,0.000456221
100.608,7.97638,6.44289e-05
100.608,7.99595,0.000337359
100.608,8.05465,2.80365e-05
100.608,8.07422,9.19625e-05
100.608,8.11335,0.000833005
100.608,8.15249,0.000259943
100.608,8.17206,0.000130963
100.608,8.19163,0.000288323
100.608,8.23076,0.000404909
100.608,8.25033,0.00063841
100.608,8.2699,0.000554893
100.608,8.28947,0.000645861
100.608,8.30903,0.000460718
100.608,8.34817,0.000505559
100.608,8.36774,0.0012042
100.608,8.38731,0.000276837
100.608,8.40688,2.4192e-05
100.608,8.42644,2.72095e-05
100.608,8.48515,0.000544704
100.608,8.56342,0.000284411
100.608,8.58299,0.000168141
100.608,8.60256,0.000205912
100.608,8.66126,0.000715502
100.608,8.68083,0.000150546
100.608,8.7004,0.00014805
100.608,8.71996,0.000552256
100.608,8.77867,0.00175976
100.608,8.79824,0.000645172
100.608,8.81781,0.00104411
100.608,8.89608,0.000425804
100.608,8.91565,0.000152342
100.608,8.95478,0.000448152
100.608,8.97435,0.00063904
100.608,8.99392,0.000640739
100.608,9.01349,0.000765156
100.608,9.03305,0.000698723
100.608,9.11133,0.000240605
100.608,9.13089,0.000310317
100.608,9.22874,0.000281833
100.608,9.26787,9.38401e-05
100.608,9.28744,0.000462912
100.608,9.30701,0.000555869
100.608,9.32658,0.000393167
100.608,9.34614,0.000835542
100.608,9.36571,0.000347305
100.608,9.38528,0.000195269
100.608,9.42442,0.000530824
100.608,9.44398,0.000568453
100.608,9.50269,0.00113299
100.608,9.52226,0.000666086
100.608,9.54182,0.000966169
100.608,9.58096,0.000405788
100.608,9.60053,5.66505e-05
100.608,9.6201,0.000783212
100.608,9.63966,0.000681426
