15N,1H,i
100.54,6.01957,0.000271399
100.54,6.0587,0.000138398
100.54,6.21525,0.000243027
100.54,6.25439,5.47655e-05
100.54,6.33266,8.10698e-05
100.54,6.35223,0.000761192
100.54,6.46963,0.000874784
100.54,6.60661,7.71321e-05
100.54,6.62618,0.000368897
100.54,6.66532,0.000629995
100.54,6.68488,0.000468872
100.54,6.70445,0.000165205
100.54,6.72402,2.40207e-05
100.54,6.76316,0.000636186
100.54,6.78272,0.000459578
100.54,6.93927,0.000278849
100.54,7.01754,0.000106763
100.54,7.11538,1.23568e-05
100.54,7.13495,0.000181671
100.54,7.25236,0.000309579
100.54,7.29149,0.00111756
100.54,7.31106,0.000147413
100.54,7.33063,0.000344794
100.54,7.3502,0.00116964
100.54,7.36977,0.000806589
100.54,7.38933,0.000121746
100.54,7.4089,0.000753768
100.54,7.42847,0.00116179
100.54,7.44804,0.000381917
100.54,7.46761,0.000229981
100.54,7.52631,0.000536129
100.54,7.56545,0.000318807
100.54,7.60458,0.000188883
100.54,7.62415,0.000197738
100.54,7.64372,0.000736058
100.54,7.66329,0.00198202
100.54,7.68286,0.00211476
100.54,7.70242,0.000338376
100.54,7.72199,0.000883482
100.54,7.74156,0.00030433
100.54,7.76113,0.000471856
100.54,7.7807,0.000392497
100.54,7.87854,0.000648607
100.54,7.91767,0.000934921
100.54,7.95681,0.00036383
100.54,7.97638,0.000313319
100.54,8.13292,0.000630181
100.54,8.17206,0.000775114
100.54,8.19163,0.000203043
100.54,8.3286,0.000789963
100.54,8.34817,0.000487074
100.54,8.36774,0.00100257
100.54,8.38731,0.000119731
100.54,8.40688,5.30556e-05
100.54,8.44601,6.86198e-05
100.54,8.48515,0.000524979
100.54,8.50472,0.000159211
100.54,8.54385,2.33203e-05
100.54,8.62212,0.000370089
100.54,8.77867,0.000954598
100.54,8.93521,0.000144176
100.54,8.97435,0.000421077
100.54,8.99392,0.000262555
100.54,9.01349,0.000443432
100.54,9.03305,0.000303511
100.54,9.05262,0.00022468
100.54,9.09176,0.000448842
100.54,9.11133,0.000522528
100.54,9.15046,0.000112861
100.54,9.1896,0.00037913
100.54,9.22874,0.000249684
100.54,9.2483,0.000191957
100.54,9.36571,9.74536e-06
100.54,9.40485,0.00041819
100.54,9.42442,0.000236556
100.54,9.48312,0.000253368
100.54,9.52226,0.000393264
100.54,9.56139,0.000635829
100.54,9.60053,0.000357416
100.54,9.63966,0.000550766
100.54,9.65923,0.000259161
100.54,9.75707,0.000204127
100.54,9.77664,0.000589412
100.54,9.83535,0.000155181
100.54,9.87448,0.000353862
