empirical_peak_idx,theoretical_peak_idx,flow,25C_15N,25C_1H,30C_15N,30C_1H
1,0,0.00032879384234547616,103.037,6.88056,103.037,6.9197
2,1,0.0002527596428990364,103.037,6.90013,103.037,6.93927
4,2,0.00048120729625225064,103.10500000000002,6.88056,103.10500000000002,6.9197
5,3,0.0003591036424040794,103.10500000000002,6.90013,103.10500000000002,6.93927
7,4,0.0006292604841291904,103.172,6.88056,103.172,6.9197
8,5,0.0004547878168523311,103.172,6.90013,103.172,6.93927
10,6,0.0007495447061955929,103.24,6.88056,103.24,6.9197
11,7,0.0005239698104560375,103.24,6.90013,103.24,6.93927
13,8,0.0008201630786061286,103.307,6.88056,103.307,6.9197
14,9,0.0005551722832024097,103.307,6.90013,103.307,6.93927
16,10,0.0008284988813102244,103.375,6.88056,103.375,6.9197
17,11,0.0005424410104751587,103.375,6.90013,103.375,6.93927
19,12,0.0007736074738204479,103.442,6.88056,103.442,6.9197
20,13,0.0004887303337454795,103.442,6.90013,103.442,6.93927
22,14,0.0006654471158981323,103.51,6.88056,103.51,6.9197
23,15,0.0004043309949338436,103.51,6.90013,103.51,6.93927
24,16,0.0005230304785072803,103.577,6.88056,103.577,6.9197
25,17,0.00030360762029886247,103.577,6.90013,103.577,6.93927
26,18,0.0003692362457513809,103.645,6.88056,103.645,6.9197
27,21,0.0003005415201187134,106.816,7.60458,106.816,7.64372
28,22,0.00042523294687271115,106.816,7.62415,106.816,7.66329
29,21,3.897752612829208e-05,106.884,7.60458,106.816,7.64372
29,23,0.0004618079401552677,106.884,7.60458,106.884,7.64372
30,22,1.3821758329868317e-05,106.884,7.62415,106.816,7.66329
30,24,0.0007247736677527427,106.884,7.62415,106.884,7.66329
31,23,9.41541977226734e-05,106.951,7.60458,106.884,7.64372
31,25,0.0006248658522963524,106.951,7.60458,106.951,7.64372
32,24,4.866700619459152e-05,106.951,7.62415,106.884,7.66329
32,25,0.00016162656247615813,106.951,7.62415,106.951,7.64372
32,26,0.0008685666136443614,106.951,7.62415,106.951,7.66329
33,27,0.0009235376492142677,107.019,7.60458,107.019,7.64372
34,26,0.00026118820533156396,107.019,7.62415,106.951,7.66329
34,27,7.331762462854385e-05,107.019,7.62415,107.019,7.64372
34,28,0.001062765810638666,107.019,7.62415,107.019,7.66329
35,29,0.0010814135894179344,107.08600000000001,7.60458,107.08600000000001,7.64372
36,28,0.00039072437211871145,107.08600000000001,7.62415,107.019,7.66329
36,29,6.979890167713165e-05,107.08600000000001,7.62415,107.08600000000001,7.64372
36,30,0.0011810322292149066,107.08600000000001,7.62415,107.08600000000001,7.66329
37,31,0.001165225077420473,107.154,7.60458,107.154,7.64372
38,30,0.0005094576627016068,107.154,7.62415,107.08600000000001,7.66329
38,32,0.0012595832347869873,107.154,7.62415,107.154,7.66329
39,31,5.7766120880842203e-05,107.221,7.60458,107.154,7.64372
39,33,0.0011019852943718433,107.221,7.60458,107.221,7.64372
40,32,0.0005382165312767029,107.221,7.62415,107.154,7.66329
40,33,9.697582572698593e-05,107.221,7.62415,107.221,7.64372
40,34,0.0011224005371332168,107.221,7.62415,107.221,7.66329
41,35,0.001067074667662382,107.28899999999999,7.60458,107.28899999999999,7.64372
42,34,0.000633377954363823,107.28899999999999,7.62415,107.221,7.66329
42,36,0.0009762139990925788,107.28899999999999,7.62415,107.28899999999999,7.66329
43,35,1.7229840159416197e-05,107.356,7.60458,107.28899999999999,7.64372
43,37,0.0008875396102666854,107.356,7.60458,107.356,7.64372
44,36,0.0005980580113828182,107.356,7.62415,107.28899999999999,7.66329
44,38,0.0007549189031124115,107.356,7.62415,107.356,7.66329
45,37,1.2364145368337631e-05,107.424,7.60458,107.356,7.64372
45,39,0.0001756584271788597,107.424,7.60458,107.424,7.64372
46,38,0.0005311103537678719,107.424,7.62415,107.356,7.66329
46,39,0.0005023090168833732,107.424,7.62415,107.424,7.64372
48,39,6.817281246185303e-08,107.491,7.62415,107.424,7.64372
48,40,0.0003981024026870727,107.491,7.62415,107.424,7.66329
48,41,0.00030507137998938557,107.491,7.62415,107.491,7.64372
50,41,0.00014933366328477858,107.559,7.62415,107.491,7.64372
50,43,0.00025976048782467843,107.559,7.62415,107.559,7.64372
51,40,0.0004174145869910717,107.828,7.68286,107.424,7.66329
52,40,0.00012685200199484824,107.896,7.66329,107.424,7.66329
52,44,0.00012702913954854012,107.896,7.66329,107.559,7.66329
53,42,0.0004328303039073944,107.896,7.68286,107.491,7.66329
53,45,0.00021241251379251478,107.896,7.68286,107.828,7.72199
54,42,0.00016499832272529603,107.963,7.66329,107.491,7.66329
54,44,0.00017497893422842024,107.963,7.66329,107.559,7.66329
55,45,7.63770192861557e-05,107.963,7.68286,107.828,7.72199
55,46,0.00048343716189265247,107.963,7.68286,107.896,7.72199
55,48,0.00031558843329548836,107.963,7.68286,107.963,7.72199
57,48,0.00037689451128244397,108.031,7.68286,107.963,7.72199
57,50,0.0006960184313356876,108.031,7.68286,108.031,7.72199
59,50,0.0001900113187730312,108.09799999999998,7.68286,108.031,7.72199
59,52,0.0010143340565264224,108.09799999999998,7.68286,108.09799999999998,7.72199
60,53,0.0002441790886223316,108.09799999999998,7.70242,108.09799999999998,7.74156
62,52,1.753689721226692e-05,108.166,7.68286,108.09799999999998,7.72199
62,54,0.0011055042967200279,108.166,7.68286,108.166,7.72199
62,56,0.00012345677241683005,108.166,7.68286,108.233,7.72199
63,55,0.00025648120790719984,108.166,7.70242,108.166,7.74156
65,56,0.0009701086208224296,108.233,7.68286,108.233,7.72199
65,58,0.00022229086607694626,108.233,7.68286,108.301,7.72199
66,57,0.0002485533244907856,108.233,7.70242,108.233,7.74156
69,58,0.0007755029015243053,108.301,7.68286,108.301,7.72199
69,61,0.000276848953217268,108.301,7.68286,108.368,7.72199
73,61,0.0005595342256128787,108.368,7.68286,108.368,7.72199
73,65,0.00029217973351478574,108.368,7.68286,108.436,7.72199
77,65,0.0003454581834375858,108.436,7.68286,108.436,7.72199
77,69,0.00027963006868958473,108.436,7.68286,108.50300000000001,7.72199
81,69,0.0001536690630018711,108.50300000000001,7.68286,108.50300000000001,7.72199
81,73,0.0002525612711906433,108.50300000000001,7.68286,108.571,7.72199
67,60,0.00029528550803661343,108.233,8.7004,108.301,8.71996
67,64,5.5826827883720397e-05,108.233,8.7004,108.368,8.73953
71,63,0.00025764349848031996,108.301,8.7004,108.368,8.71996
71,64,0.0002752969041466713,108.301,8.7004,108.368,8.73953
75,63,0.000186183862388134,108.368,8.7004,108.368,8.71996
75,67,7.736887782812118e-05,108.368,8.7004,108.436,8.71996
75,68,0.0004518206231296062,108.368,8.7004,108.436,8.73953
79,67,0.00023088762536644934,108.436,8.7004,108.436,8.71996
