15N,1H,i
100.54,6.07827,0.000852458
100.54,6.09784,3.55765e-05
100.54,6.21525,0.000209995
100.54,6.50877,0.000327822
100.54,6.62618,0.00074238
100.54,6.72402,0.000911228
100.54,6.82186,6.77109e-05
100.54,6.84143,0.00061449
100.54,6.9197,0.000372667
100.54,6.95884,0.000530712
100.54,7.09581,0.000201184
100.54,7.11538,0.000305146
100.54,7.17409,0.000486746
100.54,7.42847,5.37373e-05
100.54,7.44804,0.000249863
100.54,7.48717,6.26519e-05
100.54,7.62415,5.84833e-05
100.54,7.68286,0.000836734
100.54,7.70242,0.00233489
100.54,7.72199,0.000510693
100.54,7.8981,0.000128951
100.54,7.91767,0.000478014
100.54,7.97638,6.82175e-05
100.54,8.01551,0.00011671
100.54,8.15249,0.000738636
100.54,8.17206,0.000460085
100.54,8.19163,0.000169709
100.54,8.23076,0.000355996
100.54,8.28947,5.59911e-05
100.54,8.30903,0.000587057
100.54,8.36774,2.92435e-06
100.54,8.46558,0.000159524
100.54,8.50472,0.000186406
100.54,8.54385,0.00052217
100.54,8.62212,0.000236377
100.54,8.7591,4.41447e-06
100.54,8.83737,2.9631e-05
100.54,8.85694,0.000568539
100.54,8.97435,8.04104e-05
100.54,8.99392,0.000372969
100.54,9.01349,0.000630058
100.54,9.15046,0.000121087
100.54,9.17003,0.000454277
100.54,9.2483,0.000292122
100.54,9.34614,4.62905e-05
100.54,9.50269,0.000126928
100.54,9.58096,0.000326678
100.54,10.031,1.69538e-05
100.54,10.0506,0.000593998
100.54,10.1876,0.000383198
100.54,10.2267,0.000293806
100.54,10.2463,0.000775252
100.54,10.2854,0.000360012
100.54,10.3441,0.000231203
100.54,10.4224,0.000119805
100.54,10.442,0.000560734
100.54,10.4615,0.000103086
100.54,10.4811,0.000552882
100.54,10.5007,0.000293277
100.54,10.6768,6.17988e-05
100.54,10.6963,0.000156384
100.54,10.892,0.000279792
100.54,10.9116,6.92233e-05
100.54,10.9703,0.000544477
100.608,6.07827,0.00107119
100.608,6.09784,0.000298645
100.608,6.21525,0.000204083
100.608,6.35223,0.000156108
100.608,6.4305,8.7522e-05
100.608,6.45007,5.4121e-05
100.608,6.50877,0.000416499
100.608,6.62618,0.000553206
100.608,6.72402,0.000906795
100.608,6.84143,0.000682477
100.608,6.9197,0.000366755
100.608,6.95884,0.000643034
100.608,7.09581,0.000106595
100.608,7.11538,0.000204649
100.608,7.15452,0.000116874
